Index,Name,Emergency,HI70kHz_BackupNoUPCZB,HI70kHz,HI60kHz,HI50kHz,HI40kHz,HI30kHz,HI20kHz,HI10kHz,HI50kHz_BackupNoMuShower,HI50kHz_BackupNoDMesons,HI70kHz_ZDC,HI60kHz_ZDC,HI50kHz_ZDC,HI40kHz_ZDC,HI30kHz_ZDC,HI20kHz_ZDC,HI10kHz_ZDC,HI70kHz_Backup35kHzRate,HI60kHz_Backup35kHzRate,HI50kHz_Backup35kHzRate,HI40kHz_Backup35kHzRate,HI30kHz_Backup35kHzRate,HI20kHz_Backup35kHzRate,HI10kHz_Backup35kHzRate,HI70kHz_BackupMB15kHz,HI60kHz_BackupMB15kHz,HI50kHz_BackupMB15kHz,HI40kHz_BackupMB15kHz,HI30kHz_BackupMB15kHz,HI20kHz_BackupMB15kHz,nBunches746_HI34kHz,nBunches746_HI34kHz_BackupNoDMesons,nBunches746_HI34kHz_Test40kHzRate,nBunches746_HI34kHz_Test50kHzRate,nBunches394_HI18kHz,nBunches394_HI18kHz_BackupNoDMesons,nBunches303_HI14kHz,nBunches303_HI14kHz_BackupNoDMesons,nBunches170_HI8kHz,nBunches170_HI8kHz_BackupNoDMesons,nBunches170_HI8kHz_BackupReducedReco,nBunches170_HI8kHz_BackupNoReco,nBunches142_HI7kHz,nBunches142_HI7kHz_BackupNoDMesons,nBunches142_HI7kHz_BackupReducedReco,nBunches142_HI7kHz_BackupNoReco,nBunches58_HI3kHz,nBunches58_HI3kHz_BackupNoDMesons,nBunches58_HI3kHz_BackupReducedReco,nBunches58_HI3kHz_BackupNoReco,nBunches58_HI3kHz_TestHighRandoms,nBunches42_HI2kHz,nBunches42_HI2kHz_BackupNoDMesons,nBunches42_HI2kHz_BackupReducedReco,nBunches42_HI2kHz_BackupNoReco,nBunches42_HI2kHz_TestHighRandoms
10,L1_BPTX_OR_Ref4_VME,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,L1_BPTX_RefAND_VME,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,L1_BptxMinus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L1_BptxMinus_NotBptxPlus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,L1_BptxOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,L1_BptxPlus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,L1_BptxPlus_NotBptxMinus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,L1_BptxXOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,L1_NotBptxOR,0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2442631.0,2896969.0,2896969.0,2896969.0,2896969.0,3436793.0,3436793.0,3334451.0,3334451.0,3688691.0,3688691.0,3688691.0,3688691.0,3657187.0,3657187.0,3657187.0,3657187.0,3877613.0,3877613.0,3877613.0,3877613.0,3877613.0,3868619.0,3868619.0,3868619.0,3868619.0,3868619.0
19,L1_ZeroBias,17881,2039.0,2039.0,2039.0,2039.0,2039.0,2039.0,1063.0,467,2039.0,2039.0,2447.0,2447.0,2447.0,2447.0,2447.0,2447.0,673.0,3061.0,3061.0,3061.0,3061.0,2551.0,2039.0,1019.0,2039.0,2039.0,2039.0,2039.0,1531.0,839.0,2791.0,2791.0,2791.0,2791.0,1471.0,1471.0,1129.0,1129.0,631.0,631.0,2039.0,2039.0,541.0,541.0,2039.0,2039.0,223.0,223.0,2039.0,2039.0,223.0,157.0,157.0,2039.0,2039.0,157.0
